Name,Date,Days Until,Weekend
New Year's Day,2023-01-01,,Yes
Epiphany,2023-01-06,,No
Easter Monday,2023-04-10,,No
National Holiday,2023-05-01,,No
Ascension Day,2023-05-18,6,No
Whit Monday,2023-05-29,17,No
Corpus Christi,2023-06-08,27,No
Assumption Day,2023-08-15,95,No
National Holiday,2023-10-26,167,No
All Saints' Day,2023-11-01,173,No
Immaculate Conception,2023-12-08,210,No
Christmas Day,2023-12-25,227,No
St. Stephen's Day,2023-12-26,228,No
